concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason
916135424,21601421,Maps to (ATC),2020-09-16,2099-12-31,NA
916135427,21601387,Maps to (ATC),2020-09-16,2099-12-31,NA
916135440,21604886,Maps to (ATC),2020-09-16,2099-12-31,NA
916135446,21601388,Maps to (ATC),2020-09-16,2099-12-31,NA
916135470,21602728,Maps to (ATC),2020-09-16,2099-12-31,NA
916135470,21603283,Maps to (ATC),2020-09-16,2099-12-31,NA
916135505,21600800,Maps to (ATC),2020-09-16,2099-12-31,NA
916135509,21604253,Maps to (ATC),2020-09-16,2099-12-31,NA
916135530,21603771,Maps to (ATC),2020-09-16,2099-12-31,NA
916135534,21600306,Maps to (ATC),2020-09-16,2099-12-31,NA
916135552,21601461,Maps to (ATC),2020-09-16,2099-12-31,NA
916135558,21603692,Maps to (ATC),2020-09-16,2099-12-31,NA
916135607,21602724,Maps to (ATC),2020-09-16,2099-12-31,NA
916135628,21604181,Maps to (ATC),2020-09-16,2099-12-31,NA
916135629,21604182,Maps to (ATC),2020-09-16,2099-12-31,NA
916135647,21600602,Maps to (ATC),2020-09-16,2099-12-31,NA
916135647,21601616,Maps to (ATC),2020-09-16,2099-12-31,NA
916135647,21601910,Maps to (ATC),2020-09-16,2099-12-31,NA
916135647,21602362,Maps to (ATC),2020-09-16,2099-12-31,NA
916135647,21603073,Maps to (ATC),2020-09-16,2099-12-31,NA
916135647,21603095,Maps to (ATC),2020-09-16,2099-12-31,NA
916135647,21603235,Maps to (ATC),2020-09-16,2099-12-31,NA
916135647,21603553,Maps to (ATC),2020-09-16,2099-12-31,NA
916135660,21601744,Maps to (ATC),2020-09-16,2099-12-31,NA
916135672,21604606,Maps to (ATC),2020-09-16,2099-12-31,NA
916135687,21605259,Maps to (ATC),2020-09-16,2099-12-31,NA
916135703,21603208,Maps to (ATC),2020-09-16,2099-12-31,NA
916135709,21600445,Maps to (ATC),2020-09-16,2099-12-31,NA
916135738,21604802,Maps to (ATC),2020-09-16,2099-12-31,NA
916135743,21602624,Maps to (ATC),2020-09-16,2099-12-31,NA
916135746,21604927,Maps to (ATC),2020-09-16,2099-12-31,NA
916135747,21604939,Maps to (ATC),2020-09-16,2099-12-31,NA
916135800,21603838,Maps to (ATC),2020-09-16,2099-12-31,NA
916135801,21602858,Maps to (ATC),2020-09-16,2099-12-31,NA
916135833,21605367,Maps to (ATC),2020-09-16,2099-12-31,NA
916135866,21604220,Maps to (ATC),2020-09-16,2099-12-31,NA
916135872,21600047,Maps to (ATC),2020-09-16,2099-12-31,NA
916135895,21602514,Maps to (ATC),2020-09-16,2099-12-31,NA
916135923,21603923,Maps to (ATC),2020-09-16,2099-12-31,NA
916135933,21603148,Maps to (ATC),2020-09-16,2099-12-31,NA
916135935,21605229,Maps to (ATC),2020-09-16,2099-12-31,NA
916135972,21605372,Maps to (ATC),2020-09-16,2099-12-31,NA
916135998,21603367,Maps to (ATC),2020-09-16,2099-12-31,NA
916136026,21602506,Maps to (ATC),2020-09-16,2099-12-31,NA
916136029,21600095,Maps to (ATC),2020-09-16,2099-12-31,NA
916136128,21600931,Maps to (ATC),2020-09-16,2099-12-31,NA
919174140,21601387,Maps to (ATC),2020-09-19,2099-12-31,NA
